;"""N";Date;Time;N [Decimal degrees];E [Decimal degrees];GPS uncertainty [m];h [m];Location provider;D [μSv/h];Standard deviation;Standard error of the mean value;CF;"Number of measured points""."
4255;"""4256";2021-09-06;10:47:32;45.9;14.990000000000002;3.79;357.868;gps;0.068;0;0;0;"1""."
47676;"""1829";2021-09-23;06:29:41;46.260000000000005;15.04;9.935;333.189;gps;0.068;0;0;0;"1""."
4035;"""4036";2021-09-06;10:40:16;45.93;14.830000000000002;3.79;362.27;gps;0.068;0;0;0;"1""."
4367;"""4368";2021-09-06;10:51:10;45.88;15.069999999999999;3.798;322.657;gps;0.068;0;0;0;"1""."
3623;"""3624";2021-09-06;10:26:51;45.99;14.6;10.136;380.967;gps;0.068;0;0;0;"1""."
48732;"""2885";2021-09-23;07:04:15;46.36;15.52;3.79;374.826;gps;0.068;0;0;0;"1""."
48777;"""2930";2021-09-23;07:05:44;46.379999999999995;15.549999999999999;3.79;326.364;gps;0.068;0;0;0;"1""."
48075;"""2228";2021-09-23;06:42:44;46.260000000000005;15.37;9.935;327.851;gps;0.068;0;0;0;"1""."
48060;"""2213";2021-09-23;06:42:14;46.260000000000005;15.36;9.935;307.793;gps;0.068;0;0;0;"1""."
8714;"""8715";2021-09-06;13:14:07;45.910000000000004;15.549999999999999;3.79;194.23;gps;0.068;0;0;0;"1""."
55103;"""2154";2022-05-28;18:45:23;46.25;15.32;3.79;296.808;gps;0.068;0;0;0;"1""."
55948;"""2999";2022-05-28;18:59:30;46.25;14.98;3.79;388.145;gps;0.068;0;0;0;"1""."
55211;"""2262";2022-05-28;18:47:11;46.260000000000005;15.280000000000001;3.79;287.814;gps;0.068;0;0;0;"1""."
53488;"""539";2022-05-28;18:17:30;46.449999999999996;15.780000000000001;3.79;289.862;gps;0.068;0;0;0;"1""."
56290;"""3341";2022-05-28;19:08:38;46.18000000000001;14.850000000000001;3.79;567.844;gps;0.068;0;0;0;"1""."
54968;"""2019";2022-05-28;18:43:08;46.260000000000005;15.38;9.935;330.678;gps;0.068;0;0;0;"1""."
49073;"""3226";2021-09-23;07:15:24;46.51;15.67;3.79;320.009;gps;0.069;0;0;0;"1""."
3714;"""3715";2021-09-06;10:29:46;45.970000000000006;14.65;3.79;392.232;gps;0.069;0;0;0;"1""."
